Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2245.75079369545	58	-9.732192	22.87987	55.530006	-83.55564	151.0	0.0	30049	1772891
2283.9393265247345	59	-3.2590656	24.08349	63.41416	-99.9704	151.0	0.0	30049	1802940
2322.2299914360046	60	-9.0909605	24.869368	75.745186	-145.9963	151.0	0.0	30049	1832989
2360.156310081482	61	-7.136002	23.565145	63.75201	-65.25234	151.0	0.0	30049	1863038
2398.1356720924377	62	-7.993007	24.46083	63.019794	-90.33142	151.0	0.0	30049	1893087
2436.164097547531	63	-5.840938	18.281872	42.381927	-58.681595	151.0	0.0	30049	1923136
2474.1397528648376	64	-3.9704998	24.172869	100.00939	-90.386024	151.0	0.0	30049	1953185
2512.1894171237946	65	-3.3908603	21.22724	72.9443	-53.76768	151.0	0.0	30049	1983234
2550.233726501465	66	-2.9324858	22.148859	97.91692	-86.2594	151.0	0.0	30049	2013283
2588.2199895381927	67	-3.4378428	22.695068	63.16297	-69.2225	151.0	0.0	30049	2043332
2626.27343916893	68	-3.0511603	20.43203	51.492653	-59.577835	151.0	0.0	30049	2073381
2664.2468605041504	69	-1.2864826	23.65062	109.51984	-58.646126	151.0	0.0	30049	2103430
2702.3199050426483	70	1.875103	22.654097	60.702923	-89.803085	151.0	0.0	30049	2133479
2740.344013929367	71	2.79872	21.965536	75.05035	-91.12518	151.0	0.0	30049	2163528
2778.3616490364075	72	-2.2285185	20.686644	46.694855	-117.845505	151.0	0.0	30049	2193577
2816.403175830841	73	-0.91945064	19.921753	67.76627	-52.043865	151.0	0.0	30049	2223626
2854.489113807678	74	1.5356433	20.556599	68.99524	-59.73567	151.0	0.0	30049	2253675
2892.4835777282715	75	2.3600955	20.218851	66.17735	-58.384506	151.0	0.0	30049	2283724
2930.5248386859894	76	3.925503	18.412052	53.323524	-47.848186	151.0	0.0	30049	2313773
2968.5789411067963	77	5.336683	20.656416	72.438065	-39.512955	151.0	0.0	30049	2343822
3006.668338060379	78	6.1347513	21.465033	79.290695	-75.47368	151.0	0.0	30049	2373871
3044.6877434253693	79	4.9669185	21.87235	65.24323	-81.680954	151.0	0.0	30049	2403920
3082.7639396190643	80	8.207649	23.236406	77.75008	-78.50227	151.0	0.0	30049	2433969
3121.2836833000183	81	8.489768	21.045456	63.07392	-55.806564	151.0	0.0	30049	2464018
3159.33184671402	82	8.482743	23.465153	75.64005	-53.13852	151.0	0.0	30049	2494067
3197.570623397827	83	8.050288	23.571018	81.48797	-55.92555	151.0	0.0	30049	2524116
3236.2234206199646	84	9.049448	21.071783	97.390564	-62.52423	151.0	0.0	30049	2554165
3274.994797706604	85	9.812159	21.61609	67.71439	-66.03609	151.0	0.0	30049	2584214
3313.7882471084595	86	9.302843	22.082903	75.97218	-77.76405	151.0	0.0	30049	2614263
3352.950420856476	87	12.2096615	21.878242	82.80684	-72.448074	151.0	0.0	30049	2644312
3392.552535533905	88	12.077732	20.950691	74.93343	-38.26551	151.0	0.0	30049	2674361
3431.268878698349	89	14.310544	19.666271	64.63472	-78.47473	151.0	0.0	30049	2704410
3470.5353832244873	90	12.708677	20.335	55.51617	-76.438	151.0	0.0	30049	2734459
3509.3352727890015	91	16.664679	20.630455	73.08893	-58.93896	151.0	0.0	30049	2764508
3547.6199448108673	92	16.892841	19.281849	61.03499	-46.702103	151.0	0.0	30049	2794557
3585.843822002411	93	20.510931	21.39711	81.91795	-70.186485	151.0	0.0	30049	2824606
3624.262439727783	94	24.24858	22.614115	105.707405	-56.556236	151.0	0.0	30049	2854655
3662.7814722061157	95	21.921997	19.909771	69.08522	-46.81585	151.0	0.0	30049	2884704
3700.8029375076294	96	24.149807	19.81044	77.27161	-34.14589	151.0	0.0	30049	2914753
3738.834052801132	97	26.087006	23.023521	88.55914	-50.203262	151.0	0.0	30049	2944802
3776.8339507579803	98	23.177162	22.497469	73.42792	-49.85596	151.0	0.0	30049	2974851
3813.512702703476	99	26.026434	23.216421	81.20297	-49.125977	151.0	0.0	30049	3004900
